ID,FPS
10,2.5
10,50.56353
10,10.880492
10,10.527557
10,34.348442
10,37.728161
10,44.884308
10,27.840883
10,40.034592
10,45.906303
10,40.921719
10,42.70639
10,32.127792
10,35.106445
10,35.443272
10,42.772144
10,46.435173
10,49.935833
10,42.926746
10,45.51247
10,45.467773
10,40.942833
10,41.410099
10,42.409901
10,44.257778
10,50.7952
10,42.898937
10,47.012367
10,45.791111
10,42.901699
10,48.091949
10,47.032261
10,44.096962
10,46.864311
10,47.211678
10,52.113728
10,43.469189
10,45.507294
10,43.917049
10,40.604359
10,39.879406
10,43.658398
10,45.923378
10,44.894989
10,42.737423
10,47.072998
10,50.775856
10,49.915142
10,44.39098
10,45.74963
10,50.054298
10,41.778427
10,44.344128
10,50.661381
10,41.501701
10,46.317097
10,44.318184
10,42.87466
10,46.589645
10,51.0793
10,45.819225
10,43.03278
10,46.970406
10,49.480953
10,43.032406
10,46.139935
10,50.109989
10,42.830952
10,45.750885
10,46.024628
10,41.696724
10,46.4967
10,49.460876
10,43.486202
10,46.427845
10,47.601589
10,50.119534
10,43.962231
10,46.456097
10,47.794746
10,42.86235
10,48.981907
10,49.000389
10,49.300671
10,44.944427
10,47.451382
10,49.18428
10,45.23761
10,44.982635
10,50.179897
10,51.797367
10,47.357906
10,43.301285
10,46.140358
10,51.996407
10,45.429974
10,43.599388
10,47.586418
10,43.550213
10,47.466251
10,46.046875
10,51.680393
10,44.524982
10,48.609058
10,47.443054
10,48.830505
10,41.267067
10,48.369469
10,51.614502
10,44.349831
10,48.926788
10,48.210434
10,51.671043
10,48.828125
10,45.900188
10,46.68251
10,51.394062
10,44.874241
10,50.136627
10,49.136185
10,51.5924
10,46.730278
10,46.298443
10,46.560349
10,51.749928
10,48.40974
10,45.677326
10,48.806438
10,53.291836
10,49.142223
10,46.076157
10,51.633949
10,47.816002
10,51.584148
10,43.436714
10,47.651276
